n,algorithm,array_type,time_us,ops
1300,tim,sorted,639.5110999998602,45102.0
1400,tim,sorted,672.3430333333151,47635.0
1500,tim,sorted,713.6291666668626,50972.0
1600,tim,sorted,811.718066666837,56295.0
1700,tim,sorted,873.1014000000907,59701.0
1800,tim,sorted,949.9916666669606,64032.0
1900,tim,sorted,1022.1208333334175,66869.0
2000,tim,sorted,1033.1888666669897,70606.0
100,selection,reversed,125.4235999998817,9346.0
200,selection,reversed,477.7249999998882,36698.0
300,selection,reversed,1115.5305666666966,81136.0
400,selection,reversed,2017.1263666663701,143998.0
500,selection,reversed,3185.8735999999035,225712.0
600,selection,reversed,4669.523600000029,326686.0
700,selection,reversed,6312.744433333724,445826.0
800,selection,reversed,8300.956966666698,582720.0
900,selection,reversed,10535.849999999886,737380.0
1000,selection,reversed,12985.062499999836,909342.0
1100,selection,reversed,15642.290266666709,1099192.0
1200,selection,reversed,18645.53473333359,1306280.0
1300,selection,reversed,21907.997233333273,1530808.0
1400,selection,reversed,25420.68196666634,1774260.0
1500,selection,reversed,29063.78609999981,2035534.0
1600,selection,reversed,33102.86806666672,2314652.0
1700,selection,reversed,37116.60973333295,2611482.0
1800,selection,reversed,41582.68890000016,2926416.0
1900,selection,reversed,46657.04446666675,3259592.0
2000,selection,reversed,51801.505533333155,3611178.0
100,bubble,reversed,338.99723333329723,29880.0
200,bubble,reversed,1312.3750000000693,119773.0
300,bubble,reversed,2966.9819333330834,269653.0
400,bubble,reversed,5375.413866666652,479548.0
500,bubble,reversed,8657.991666666949,749453.0
600,bubble,reversed,12665.7013999998,1079360.0
700,bubble,reversed,17318.7611000003,1469253.0
800,bubble,reversed,22879.8597333333,1919148.0
900,bubble,reversed,29485.262499999957,2429030.0
1000,bubble,reversed,36883.15973333308,2998900.0
1100,bubble,reversed,44890.669433333125,3628773.0
1200,bubble,reversed,53945.56109999987,4318628.0
1300,bubble,reversed,62779.343033333156,5068505.0
1400,bubble,reversed,73611.70140000014,5878423.0
1500,bubble,reversed,85017.03886666689,6748278.0
1600,bubble,reversed,96787.06946666676,7678163.0
1700,bubble,reversed,109739.47083333305,8668060.0
1800,bubble,reversed,123310.67776666676,9717948.0
1900,bubble,reversed,137530.6263666668,10827828.0
2000,bubble,reversed,152569.14306666685,11997743.0
100,insertion,reversed,232.39029999994426,25324.0
200,insertion,reversed,901.2680666666977,100664.0
300,insertion,reversed,2024.0666666666132,225994.0
400,insertion,reversed,3699.8763666668806,401339.0
500,insertion,reversed,5876.805566666595,626694.0
600,insertion,reversed,8511.931966666945,902054.0
700,insertion,reversed,11814.870833333183,1227394.0
800,insertion,reversed,16019.868033333276,1602739.0
900,insertion,reversed,19908.52639999995,2028074.0
1000,insertion,reversed,24500.42776666663,2503394.0
1100,insertion,reversed,29898.38889999987,3028714.0
1200,insertion,reversed,35768.98609999972,3604019.0
1300,insertion,reversed,42104.07223333353,4229349.0
1400,insertion,reversed,50713.33333333333,4904714.0
1500,insertion,reversed,58556.113900000164,5630019.0
1600,insertion,reversed,66853.82223333344,6405354.0
1700,insertion,reversed,72756.88333333316,7230704.0
1800,insertion,reversed,81726.12916666632,8106039.0
1900,insertion,reversed,91177.30276666691,9031369.0
2000,insertion,reversed,101143.3958333337,10006734.0
100,counting,reversed,174.1680666668799,12903.0
200,counting,reversed,173.92916666665315,13803.0
300,counting,reversed,182.47916666685643,14703.0
400,counting,reversed,192.4028000000059,15603.0
500,counting,reversed,203.71526666735917,16503.0
600,counting,reversed,217.3249999998461,17403.0
700,counting,reversed,229.35696666669023,18303.0
800,counting,reversed,236.8153000001409,19203.0
900,counting,reversed,244.60969999987964,20103.0
1000,counting,reversed,250.97359999980048,21003.0
1100,counting,reversed,259.5541666664758,21903.0
1200,counting,reversed,269.4486333335059,22803.0
1300,counting,reversed,277.7249999998806,23703.0
1400,counting,reversed,283.51526666673027,24603.0
1500,counting,reversed,290.71526666655245,25503.0
1600,counting,reversed,304.15139999983387,26403.0
1700,counting,reversed,315.3360999997782,27303.0
1800,counting,reversed,319.2124999998214,28203.0
1900,counting,reversed,328.73193333292267,29103.0
2000,counting,reversed,340.05140000014455,30003.0
100,merge,reversed,65.45973333326553,2718.0
200,merge,reversed,137.71113333310342,5933.0
300,merge,reversed,217.32363333342164,9353.0
400,merge,reversed,291.8250000002824,12828.0
500,merge,reversed,367.91666666620887,16098.0
600,merge,reversed,465.5583333326755,20208.0
700,merge,reversed,542.2374999994872,24043.0
800,merge,reversed,631.5958333326913,27673.0
900,merge,reversed,719.4125000002789,31378.0
1000,merge,reversed,802.7416666664067,34738.0
1100,merge,reversed,902.8611333339617,39053.0
1200,merge,reversed,988.1819333334837,43463.0
1300,merge,reversed,1078.784699999839,47483.0
1400,merge,reversed,1177.6625000000724,51543.0
1500,merge,reversed,1254.9097000004394,55533.0
1600,merge,reversed,1349.4235999994924,59408.0
1700,merge,reversed,1415.9319333335438,63563.0
1800,merge,reversed,1504.902766666305,67298.0
1900,merge,reversed,1594.4888666666657,71058.0
2000,merge,reversed,1672.4777666657549,74478.0
100,quick,reversed,115.1041666673791,10215.0
200,quick,reversed,407.4902666673097,38203.0
300,quick,reversed,887.9777666663813,83597.0
400,quick,reversed,1575.7388999996163,145527.0
500,quick,reversed,2557.4999999993984,227861.0
600,quick,reversed,3758.4430666669277,322453.0
700,quick,reversed,4984.038899999632,435685.0
800,quick,reversed,6682.480566666982,570923.0
900,quick,reversed,8358.637500000063,722097.0
1000,quick,reversed,10234.40833333306,883109.0
1100,quick,reversed,12623.726399999669,1063581.0
1200,quick,reversed,14613.75969999968,1255261.0
1300,quick,reversed,17301.84723333347,1475233.0
1400,quick,reversed,20129.501366667075,1725603.0
1500,quick,reversed,23042.90556666615,1975601.0
1600,quick,reversed,26400.6430666664,2265259.0
1700,quick,reversed,29849.484733333044,2560613.0
1800,quick,reversed,33626.45973333353,2870795.0
1900,quick,reversed,37176.90279999981,3193679.0
2000,quick,reversed,41373.86249999982,3565171.0
100,heap,reversed,82.96666666656922,4283.0
200,heap,reversed,189.3902666665781,10250.0
300,heap,reversed,317.4638999998554,17221.0
400,heap,reversed,448.2152666668071,24521.0
500,heap,reversed,577.3347333331458,32084.0
600,heap,reversed,731.2250000002981,39921.0
700,heap,reversed,882.3444333330599,48034.0
800,heap,reversed,1028.523633332649,56314.0
900,heap,reversed,1185.4652666661045,64924.0
1000,heap,reversed,1338.1416666665775,73121.0
1100,heap,reversed,1490.986133332702,82386.0
1200,heap,reversed,1657.4944333333026,90969.0
1300,heap,reversed,1840.3791666666318,100645.0
1400,heap,reversed,1988.756933333017,109370.0
1500,heap,reversed,2165.8263999995597,119425.0
1600,heap,reversed,2321.519433332734,127794.0
1700,heap,reversed,2491.2861333329297,137643.0
1800,heap,reversed,2672.7013999997475,146984.0
1900,heap,reversed,2848.4596999997316,157386.0
2000,heap,reversed,3008.4694333330235,166013.0
100,shell,reversed,31.572233333084416,2998.0
200,shell,reversed,69.36666666679987,6778.0
300,shell,reversed,113.27776666689715,11018.0
400,shell,reversed,164.49723333285723,15441.0
500,shell,reversed,226.92916666642304,20901.0
600,shell,reversed,284.3569333331667,26025.0
700,shell,reversed,339.80276666625286,30737.0
800,shell,reversed,397.1180666667351,35564.0
900,shell,reversed,456.4333333329766,40728.0
1000,shell,reversed,511.5819666665782,45800.0
1100,shell,reversed,573.3763666664041,51284.0
1200,shell,reversed,638.7541666668994,56652.0
1300,shell,reversed,745.7597333332918,65892.0
1400,shell,reversed,772.9389000000234,69108.0
1500,shell,reversed,862.3125000004468,75608.0
1600,shell,reversed,876.6597333334403,78460.0
1700,shell,reversed,994.0888999996863,87144.0
1800,shell,reversed,1013.9388666668007,90208.0
1900,shell,reversed,1120.5541666669205,98308.0
2000,shell,reversed,1218.409699999749,106672.0
100,tim,reversed,86.08613333365156,7347.0
200,tim,reversed,182.84026666606223,15734.0
300,tim,reversed,289.55556666592963,24747.0
400,tim,reversed,415.8111000000039,33640.0
500,tim,reversed,534.3680666660097,42649.0
600,tim,reversed,675.35833333352,52992.0
700,tim,reversed,798.6389000005071,62111.0
800,tim,reversed,930.7430666666505,72182.0
900,tim,reversed,1050.8583333328638,81608.0
1000,tim,reversed,1169.5374999997437,90853.0
1100,tim,reversed,1336.2916666665114,103324.0
1200,tim,reversed,1452.5888666668152,112163.0
1300,tim,reversed,1595.173633333502,122102.0
1400,tim,reversed,1747.3624999998567,131231.0
1500,tim,reversed,1957.2166666667572,141100.0
1600,tim,reversed,2094.427766666248,152281.0
1700,tim,reversed,2157.286099999093,161749.0
1800,tim,reversed,2278.7416666668983,172178.0
1900,tim,reversed,2395.6264000001206,181555.0
2000,tim,reversed,2543.8180666668586,191886.0
100,selection,almost_sorted,114.17223333296533,5828.0
200,selection,almost_sorted,435.3791666668864,21932.0
300,selection,almost_sorted,1034.1319333340002,48302.0
400,selection,almost_sorted,1938.8638999998875,83896.0
500,selection,almost_sorted,3025.250000000786,130104.0
600,selection,almost_sorted,4375.815266666905,186320.0
700,selection,almost_sorted,6007.531933334084,252678.0
800,selection,almost_sorted,7810.338899999655,329334.0
900,selection,almost_sorted,9896.32640000006,415778.0
1000,selection,almost_sorted,12321.055566666435,511302.0
1100,selection,almost_sorted,14659.091666666767,617318.0
1200,selection,almost_sorted,17553.61806666637,733660.0
1300,selection,almost_sorted,20557.148633333592,859354.0
1400,selection,almost_sorted,23913.05556666623,994704.0
1500,selection,almost_sorted,27292.94583333323,1141940.0
1600,selection,almost_sorted,31068.261133333406,1296998.0
1700,selection,almost_sorted,35059.32500000029,1462502.0
1800,selection,almost_sorted,39668.775000000285,1636992.0
1900,selection,almost_sorted,43642.5263999998,1821018.0
2000,selection,almost_sorted,48590.45553333393,2009480.0
100,bubble,almost_sorted,35.80973333328075,2586.0
200,bubble,almost_sorted,369.4860999994868,19156.0
300,bubble,almost_sorted,1373.1263666670657,64455.0
400,bubble,almost_sorted,2511.124999999955,114085.0
500,bubble,almost_sorted,3738.8513999995134,161890.0
600,bubble,almost_sorted,5751.659733333744,240476.0
700,bubble,almost_sorted,7807.994433333457,322960.0
800,bubble,almost_sorted,9806.274999999687,401790.0
900,bubble,almost_sorted,13650.226399999117,544835.0
1000,bubble,almost_sorted,17424.751366666176,687651.0
1100,bubble,almost_sorted,20478.755533333508,802496.0
1200,bubble,almost_sorted,25019.4958333329,986163.0
1300,bubble,almost_sorted,29771.204166666128,1171123.0
1400,bubble,almost_sorted,34266.820833333135,1327878.0
1500,bubble,almost_sorted,39472.28333333328,1501316.0
1600,bubble,almost_sorted,44671.419433332936,1678596.0
1700,bubble,almost_sorted,49728.09026666595,1858166.0
1800,bubble,almost_sorted,57592.40139999993,2165936.0
1900,bubble,almost_sorted,64107.6569333336,2371706.0
2000,bubble,almost_sorted,71299.5069333336,2619315.0
100,insertion,almost_sorted,22.602766666561063,2489.0
200,insertion,almost_sorted,83.83053333318458,9224.0
300,insertion,almost_sorted,211.990266666362,22684.0
400,insertion,almost_sorted,380.0722333333321,38799.0
500,insertion,almost_sorted,548.8416666660593,54704.0
600,insertion,almost_sorted,766.0902666666894,76044.0
700,insertion,almost_sorted,1019.3388666664305,100799.0
800,insertion,almost_sorted,1305.7361000003689,129929.0
900,insertion,almost_sorted,1688.106966667154,164579.0
1000,insertion,almost_sorted,2082.8166666670236,203464.0
1100,insertion,almost_sorted,2404.393033333463,233809.0
1200,insertion,almost_sorted,2871.09166666634,277879.0
1300,insertion,almost_sorted,3452.1514000005027,335789.0
1400,insertion,almost_sorted,3905.920833333691,371744.0
1500,insertion,almost_sorted,4209.880566667342,402954.0
1600,insertion,almost_sorted,4573.90693333366,442369.0
1700,insertion,almost_sorted,5055.377766666425,489439.0
1800,insertion,almost_sorted,6031.348633333285,557184.0
1900,insertion,almost_sorted,6445.245833332555,591354.0
2000,insertion,almost_sorted,6628.726366666153,635929.0
100,counting,almost_sorted,172.70140000012665,12903.0
200,counting,almost_sorted,173.7208333338458,13803.0
300,counting,almost_sorted,202.09863333301806,14703.0
400,counting,almost_sorted,207.19863333340527,15603.0
500,counting,almost_sorted,214.97776666687213,16503.0
600,counting,almost_sorted,226.10556666601647,17403.0
700,counting,almost_sorted,233.36526666639656,18303.0
